measure;x_val;y_val;z_val
1;1.5;2.7;-9.0
2;1.3;3.0;-9.1
3;1.6;3.1;-9.2
4;1.4;2.3;-9.4
5;0.9;2.7;-9.1
6;-0.0;4.2;-9.5
7;0.5;3.0;-9.0
8;0.5;3.3;-8.9
9;0.6;4.9;-8.6
10;1.5;4.3;-7.8
11;1.3;5.5;-8.1
12;0.3;7.3;-7.6
13;0.4;5.0;-7.3
14;0.1;5.9;-7.4
15;-0.3;6.1;-8.1
16;-0.7;6.5;-7.8
17;-3.3;5.8;-6.2
18;-2.8;6.3;-7.2
19;-1.0;5.9;-7.8
20;-1.4;6.1;-7.2
21;-1.6;6.4;-7.3
22;-0.8;6.1;-7.4
23;-0.9;6.1;-7.3
24;-1.1;6.6;-7.5
25;-1.0;6.4;-7.4
