measure;x_val;y_val;z_val
1;1.7;2.0;-9.4
2;0.8;1.8;-8.2
3;2.0;2.6;-9.4
4;2.2;1.9;-9.3
5;2.2;2.5;-9.5
6;1.1;3.3;-10.3
7;-5.6;18.2;8.8
8;1.1;-2.5;-9.1
9;-0.7;-2.0;-8.2
10;1.7;1.2;-9.9
11;1.8;0.9;-9.5
12;1.3;1.3;-9.3
13;2.0;1.7;-9.7
14;1.7;1.7;-9.7
15;1.9;1.1;-9.4
16;2.0;1.6;-9.6
17;1.9;1.2;-9.2
18;2.1;1.2;-9.2
19;2.1;1.4;-9.3
20;1.7;1.2;-9.2
21;2.3;1.1;-9.2
22;2.0;1.6;-9.4
23;2.1;1.0;-9.1
24;2.4;1.1;-9.3
25;2.0;1.7;-9.5
